time_s,vz_taylor,vz_optimized,vx_taylor,vx_optimized
0,0,0,0,0
0.00179897293,0,0,0,0
0.00359794585,0,0,0,0
0.00539691878,0,0,0,0
0.0071958917,0,0,0,0
0.00899486463,0,0,0,0
0.0107938376,0,0,0,0
0.0125928105,0,0,0,0
0.0143917834,0,0,0,0
0.0161907563,0,0,0,0
0.0179897293,1.82792495e-92,5.77927824e-79,0,0
0.0197887022,-2.12001682e-87,-6.53036033e-75,-5.94598407e-88,-7.04233139e-75
0.0215876751,2.20868726e-84,2.18613532e-72,9.19715097e-84,1.66331222e-71
0.023386648,-8.52060444e-82,-4.63347693e-70,-6.77022847e-81,-3.08963445e-69
0.025185621,1.78746755e-79,3.22480953e-68,1.00557689e-78,1.28018876e-67
0.0269845939,-1.28438393e-77,-5.89157765e-67,-4.76298282e-77,-1.23265278e-66
0.0287835668,3.24762624e-76,4.20210935e-68,7.87127254e-76,-6.63169511e-66
0.0305825397,-2.21150584e-75,4.03319014e-65,-1.92967037e-75,6.66558438e-65
0.0323815127,-1.58031898e-74,7.75161403e-65,-4.61295701e-74,4.21892076e-64
0.0341804856,1.35795874e-73,-1.20696354e-63,1.00396365e-73,-7.87732293e-64
0.0359794585,8.23343176e-73,-6.52764478e-63,1.88264601e-72,-1.3380665e-62
0.0377784314,-2.82867237e-72,2.39095043e-63,1.14356362e-72,-3.3645166e-62
0.0395774044,-3.06528889e-71,1.33784229e-61,-4.45468212e-71,1.05543588e-61
0.0413763773,-2.98090113e-71,4.92678432e-61,-1.61443657e-70,9.11493359e-61
0.0431753502,5.13238849e-70,5.64265492e-62,3.01759582e-70,2.08351959e-60
0.0449743231,2.29782664e-69,-5.91686113e-60,3.65509352e-69,-2.81582725e-60
0.0467732961,2.08354874e-70,-2.33667778e-59,8.18093212e-69,-3.2374067e-59
0.048572269,-3.09292105e-68,-2.88582777e-59,-1.93835324e-68,-9.15501412e-59
0.0503712419,-1.12985425e-67,1.0662355e-58,-1.64353189e-67,-4.67387675e-59
0.0521702148,-5.10426534e-68,6.30243163e-58,-3.59483893e-67,5.70800087e-58
0.0539691878,9.97712052e-67,1.42328184e-57,4.04040053e-67,2.329042e-57
0.0557681607,3.9984302e-66,4.38325122e-58,4.7226472e-66,3.96789579e-57
0.0575671336,4.97521819e-66,-8.10708261e-57,1.25635556e-65,-1.91146657e-57
0.0593661065,-1.64009238e-65,-3.01945015e-56,3.99601302e-66,-3.07232107e-56
0.0611650795,-9.5311509e-65,-5.16700653e-56,-8.2822766e-65,-8.84419394e-56
0.0629640524,-2.00200928e-64,3.10498781e-57,-3.03124364e-64,-1.11901602e-55
0.0647630253,2.85319869e-66,2.90167512e-55,-4.24384476e-64,1.16148325e-55
0.0665619982,1.35454205e-63,9.02207624e-55,6.07987668e-64,9.26652959e-55
0.0683609712,4.42550213e-63,1.37061413e-54,4.61425337e-63,2.26606807e-54
0.0701599441,6.0598758e-63,-1.01590846e-55,1.10575502e-62,2.48858588e-54
0.071958917,-6.58230679e-63,-6.63593525e-54,8.30147301e-63,-2.85785723e-54
0.0737578899,-5.53172901e-62,-1.9439898e-53,-3.54673158e-62,-1.93673224e-53
0.0755568629,-1.38565287e-61,-2.88607772e-53,-1.54575198e-61,-4.43591645e-53
0.0773558358,-1.40995494e-61,-2.705215e-54,-2.91455406e-61,-4.78975791e-53
0.0791548087,2.71887802e-61,1.10892051e-52,-1.11878166e-61,4.23349366e-53
0.0809537817,1.53500606e-60,3.31343567e-52,1.08414534e-60,3.10738911e-52
0.0827527546,3.36686028e-60,5.15352258e-52,3.78748698e-60,7.17843764e-52
