归一化波数theta除以pi,Taylor数值波数比,优化系数数值波数比,Taylor相对误差,优化系数相对误差
0.0005,1.00000000018551,0.999999997345847,1.85510717898296e-10,-2.6541532305302e-09
0.001,1.00000000018551,0.9999999893836,1.85506499050803e-10,-1.06163998703224e-08
0.0015,1.0000000001855,0.999999976113902,1.8549961566805e-10,-2.38860977663791e-08
0.002,1.00000000018549,0.999999957537821,1.85490067750038e-10,-4.24621789951729e-08
0.0025,1.00000000018548,0.999999933656853,1.85478077341372e-10,-6.63431471981113e-08
0.003,1.00000000018546,0.999999904472921,1.85462534219027e-10,-9.55270794689156e-08
0.0035,1.00000000018545,0.999999869988375,1.85445214739843e-10,-1.3001162535442e-07
0.004,1.00000000018542,0.999999830205993,1.8542434254698e-10,-1.69794007298663e-07
0.0045,1.0000000001854,0.999999785128978,1.85401249908068e-10,-2.1487102153106e-07
0.005,1.00000000018538,0.999999734760962,1.85375048644687e-10,-2.65239037733345e-07
0.0055,1.00000000018535,0.999999679106001,1.85346848979862e-10,-3.20893998706495e-07
0.006,1.00000000018532,0.999999618168578,1.85315540690567e-10,-3.81831422369139e-07
0.0065,1.00000000018528,0.9999995519536,1.85281345821409e-10,-4.48046399981195e-07
0.007,1.00000000018524,0.999999480466402,1.85244486416991e-10,-5.1953359792023e-07
0.0075,1.0000000001852,0.999999403712742,1.85204962477314e-10,-5.96287257792483e-07
0.008,1.00000000018516,0.999999321698803,1.85162774002379e-10,-6.78301196876951e-07
0.0085,1.00000000018512,0.999999234431192,1.85117920992184e-10,-7.65568808014372e-07
0.009,1.00000000018507,0.999999141916939,1.8506995935752e-10,-8.58083060939485e-07
0.0095,1.00000000018502,0.999999044163498,1.85019777276807e-10,-9.55836501836949e-07
0.01,1.00000000018497,0.999998941178745,1.84966486571625e-10,-1.05882125511769e-06
0.0105,1.00000000018491,0.999998832970977,1.84910531331184e-10,-1.16702902264176e-06
0.011,1.00000000018485,0.999998719548915,1.84852355644693e-10,-1.28045108493957e-06
0.0115,1.00000000018479,0.999998600921697,1.84791071333734e-10,-1.39907830254415e-06
0.012,1.00000000018473,0.999998477098885,1.84726678398306e-10,-1.52290111532505e-06
0.0125,1.00000000018466,0.999998348090456,1.84660065016828e-10,-1.65190954393157e-06
0.013,1.00000000018459,0.99999821390681,1.84591009144697e-10,-1.78609319001488e-06
0.0135,1.00000000018452,0.999998074558761,1.84518622603491e-10,-1.92544123867044e-06
0.014,1.00000000018444,0.999997930057544,1.84443793571631e-10,-2.06994245621761e-06
0.0145,1.00000000018437,0.999997780414806,1.84366300004513e-10,-2.21958519397436e-06
0.015,1.00000000018429,0.999997625642613,1.84286141902135e-10,-2.37435738725811e-06
0.0155,1.0000000001842,0.999997465753443,1.84203319264498e-10,-2.53424655682899e-06
0.016,1.00000000018412,0.99999730076019,1.84117610046997e-10,-2.69923981033315e-06
0.0165,1.00000000018403,0.999997130676158,1.84029680383446e-10,-2.86932384163663e-06
0.017,1.00000000018394,0.999996955515067,1.83938642095427e-10,-3.04448493337883e-06
0.0175,1.00000000018384,0.999996775291041,1.83844939272149e-10,-3.22470895852689e-06
0.018,1.00000000018375,0.999996590018621,1.83748571913611e-10,-3.40998137871029e-06
0.0185,1.00000000018365,0.999996399712753,1.8364976206442e-10,-3.60028724732953e-06
0.019,1.00000000018355,0.99999620438879,1.83548065635364e-10,-3.79561121011118e-06
0.0195,1.00000000018344,0.999996004062493,1.83443704671049e-10,-3.99593750732841e-06
0.02,1.00000000018334,0.999995798750028,1.8333645712687e-10,-4.20124997246862e-06
0.0205,1.00000000018323,0.999995588467965,1.83227211181247e-10,-4.41153203545319e-06
0.021,1.00000000018311,0.999995373233277,1.83114856611155e-10,-4.62676672319251e-06
0.0215,1.000000000183,0.999995153063339,1.82999615461199e-10,-4.84693666114033e-06
0.022,1.00000000018288,0.999994927975926,1.82882153865194e-10,-5.07202407373786e-06
0.0225,1.00000000018276,0.999994697989214,1.82762027733929e-10,-5.30201078641213e-06
0.023,1.00000000018264,0.999994463121773,1.82639237067406e-10,-5.53687822690829e-06
0.0235,1.00000000018251,0.999994223392574,1.82513115731808e-10,-5.77660742595576e-06
0.024,1.00000000018239,0.99999397882098,1.82385218039371e-10,-6.02117901959964e-06
0.0245,1.00000000018225,0.99999372942675,1.82254211722466e-10,-6.27057324953384e-06
0.025,1.00000000018212,0.999993475230034,1.82120540870301e-10,-6.52476996587659e-06
0.0255,1.00000000018198,0.999993216251373,1.81984649572087e-10,-6.78374862728148e-06
0.026,1.00000000018185,0.999992952511697,1.81845649649404e-10,-7.04748830337998e-06
0.0265,1.0000000001817,0.999992684032324,1.81704207236066e-10,-7.3159676758916e-06
0.027,1.00000000018156,0.999992410834961,1.81560322332075e-10,-7.58916503917906e-06
0.0275,1.00000000018141,0.999992132941695,1.81413772892824e-10,-7.86705830457812e-06
0.028,1.00000000018126,0.999991850375001,1.81264558918315e-10,-8.14962499884331e-06
0.0285,1.00000000018111,0.999991563157731,1.81112236319336e-10,-8.43684226858876e-06
0.029,1.00000000018096,0.999991271313121,1.80957915318913e-10,-8.72868687906703e-06
0.0295,1.0000000001808,0.999990974864782,1.80800707738626e-10,-9.02513521816584e-06
0.03,1.00000000018064,0.999990673836703,1.80641057667685e-10,-9.3261632972963e-06
0.0305,1.00000000018048,0.999990368253247,1.8047852101688e-10,-9.6317467529472e-06
0.031,1.00000000018031,0.999990058139151,1.80313541875421e-10,-9.94186084879445e-06
0.0315,1.00000000018015,0.999989743519523,1.80145898198703e-10,-1.02564804772554e-05
0.032,1.00000000017998,0.999989424419839,1.79975589986725e-10,-1.0575580161154e-05
0.0325,1.0000000001798,0.999989100865943,1.79803061328698e-10,-1.08991340566078e-05
0.033,1.00000000017963,0.999988772884047,1.79627646090808e-10,-1.12271159532495e-05
0.0335,1.00000000017945,0.999988440500722,1.79449566317658e-10,-1.15594992775581e-05
0.034,1.00000000017927,0.999988103742906,1.79268822009249e-10,-1.18962570938574e-05
0.0345,1.00000000017909,0.999987762637893,1.79085635210186e-10,-1.22373621070926e-05
0.035,1.0000000001789,0.999987417213336,1.78899561831258e-10,-1.25827866638284e-05
0.0355,1.00000000017871,0.999987067497245,1.78710823917072e-10,-1.29325027552474e-05
0.036,1.00000000017852,0.999986713517982,1.78519643512232e-10,-1.32864820184819e-05
0.0365,1.00000000017833,0.999986355304261,1.78326020616737e-10,-1.36446957388348e-05
0.037,1.00000000017813,0.999985992885148,1.78129289096773e-10,-1.40071148522214e-05
0.0375,1.00000000017793,0.999985626290053,1.77930115086156e-10,-1.43737099473906e-05
0.038,1.00000000017773,0.999985255548734,1.77728276540279e-10,-1.47444512662576e-05
0.0385,1.00000000017752,0.999984880691291,1.77523773459143e-10,-1.51193087093437e-05
0.039,1.00000000017732,0.999984501748165,1.77316383798143e-10,-1.54982518347779e-05
0.0395,1.00000000017711,0.999984118750137,1.77106329601884e-10,-1.5881249862848e-05
0.04,1.00000000017689,0.999983731728324,1.76893610870366e-10,-1.6268271676112e-05
0.0405,1.00000000017668,0.999983340714176,1.76677561469774e-10,-1.6659285823728e-05
0.041,1.00000000017646,0.999982945739477,1.76459735712342e-10,-1.70542605227864e-05
0.0415,1.00000000017624,0.99998254683634,1.76238579285837e-10,-1.74531636599751e-05
0.042,1.00000000017601,0.999982144037204,1.76014536279467e-10,-1.78559627955766e-05
0.0425,1.00000000017579,0.999981737374837,1.75787606693234e-10,-1.82626251634677e-05
0.043,1.00000000017556,0.999981326882324,1.75558012571742e-10,-1.86731176760047e-05
0.0435,1.00000000017532,0.999980912593074,1.75324643691965e-10,-1.90874069263547e-05
0.044,1.00000000017509,0.999980494540813,1.7508905436614e-10,-1.95054591866084e-05
0.0445,1.00000000017485,0.999980072759583,1.74850356415845e-10,-1.99272404173279e-05
0.045,1.00000000017461,0.999979647283737,1.74608327796477e-10,-2.03527162628836e-05
